benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0084,voucher_rates.csv,SUMMARY_VOUCHER_PURCHASE,BOOKNLIFE_VOUCHER,상품권 구매·충전 혜택 - 구매 할인율,ALL,ALL,ONLINE,DISCOUNT,3.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,GIFTCODE_CHARGE,False,,,,,Target: 북앤라이프 캐시 | Cond: 지원 스토어 | Note: 북앤라이프 공식 핀번호 1:1 충전 (3% 할인 온전히 적용)
BNF_0085,voucher_rates.csv,SUMMARY_VOUCHER_PURCHASE,BOOKNLIFE_VOUCHER,상품권 구매·충전 혜택 - 순혜택율,ALL,ALL,ONLINE,REWARD,3.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,GIFTCODE_CHARGE,False,,,,,Target: 북앤라이프 캐시 | Cond: 지원 스토어 | Note: 북앤라이프 공식 핀번호 1:1 충전 (3% 할인 온전히 적용)
BNF_0086,voucher_rates.csv,SUMMARY_VOUCHER_PURCHASE,BOOKNLIFE_VOUCHER,상품권 구매·충전 혜택 - 충전 수수료율,ALL,ALL,ONLINE,FEE,0.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,GIFTCODE_CHARGE,False,,,,,Target: 북앤라이프 캐시 | Cond: 지원 스토어 | Note: 북앤라이프 공식 핀번호 1:1 충전 (3% 할인 온전히 적용)
BNF_0087,voucher_rates.csv,SUMMARY_VOUCHER_PURCHASE,CULTURELAND_VOUCHER,상품권 구매·충전 혜택 - 구매 할인율,ALL,ALL,ONLINE,DISCOUNT,3.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,GIFTCODE_CHARGE,False,,,,,Target: 컬쳐랜드 캐쉬 | Cond: 갤럭시스토어 등 | Note: 문화상품권 핀번호 1:1 충전 (3% 할인 온전히 적용)
BNF_0088,voucher_rates.csv,SUMMARY_VOUCHER_PURCHASE,CULTURELAND_VOUCHER,상품권 구매·충전 혜택 - 순혜택율,ALL,ALL,ONLINE,REWARD,3.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,GIFTCODE_CHARGE,False,,,,,Target: 컬쳐랜드 캐쉬 | Cond: 갤럭시스토어 등 | Note: 문화상품권 핀번호 1:1 충전 (3% 할인 온전히 적용)
BNF_0089,voucher_rates.csv,SUMMARY_VOUCHER_PURCHASE,CULTURELAND_VOUCHER,상품권 구매·충전 혜택 - 충전 수수료율,ALL,ALL,ONLINE,FEE,0.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,GIFTCODE_CHARGE,False,,,,,Target: 컬쳐랜드 캐쉬 | Cond: 갤럭시스토어 등 | Note: 문화상품권 핀번호 1:1 충전 (3% 할인 온전히 적용)
