benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0094,voucher_platform_conversion.csv,SUMMARY_VOUCHER_PLATFORM_CONVERSION,CULTURELAND_CASH,상품권 캐시→플랫폼 결제 전환 - 전환 수수료율,GALAXY_STORE,ALL,ONLINE,FEE,0.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,INDIRECT_CONVERSION,False,,,,,Target: 갤럭시 스토어 | Cond:  | Note: 컬쳐랜드 계정 직접 연동 결제 (수수료 없음)
BNF_0095,voucher_platform_conversion.csv,SUMMARY_VOUCHER_PLATFORM_CONVERSION,CULTURELAND_CASH,상품권 캐시→플랫폼 결제 전환 - 전환 수수료율,GOOGLE_PLAY,ALL,ONLINE,FEE,3.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,INDIRECT_CONVERSION,False,,,,,Target: 구글 플레이 | Cond:  | Note: 구글 Play 기프트코드 바로충전 (수수료 3%)
