benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0096,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,GALAXY_STORE,스토어 등급별 적립률 - 적립률,ALL,ALL,ONLINE,REWARD,0.2,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_LINK,False,,,,,Target: 삼성전자 포인트 | Cond: 기본 (상시) / - | Note: 결제 시 삼성전자 멤버십 기본 연동 적립
BNF_0097,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,GOOGLE_PLAY,스토어 등급별 적립률 - 적립률,GOOGLE_PLAY,ALL,ONLINE,REWARD,1.0,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,"Target: 구글 Play 포인트 | Cond: 브론즈 / 1,000원당 1pt | Note: 상시 기본 등급 (1pt = 약 10원 가치)"
BNF_0098,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,GOOGLE_PLAY,스토어 등급별 적립률 - 적립률,GOOGLE_PLAY,ALL,ONLINE,REWARD,1.1,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,"Target: 구글 Play 포인트 | Cond: 실버 / 1,000원당 1.1pt | Note: 상시 등급 기준"
BNF_0099,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,GOOGLE_PLAY,스토어 등급별 적립률 - 적립률,GOOGLE_PLAY,ALL,ONLINE,REWARD,1.3,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,"Target: 구글 Play 포인트 | Cond: 골드 / 1,000원당 1.3pt | Note: 상시 등급 기준"
BNF_0100,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,GOOGLE_PLAY,스토어 등급별 적립률 - 적립률,GOOGLE_PLAY,ALL,ONLINE,REWARD,1.6,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,"Target: 구글 Play 포인트 | Cond: 플래티넘 / 1,000원당 1.6pt | Note: 상시 등급 기준"
BNF_0101,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,GOOGLE_PLAY,스토어 등급별 적립률 - 적립률,GOOGLE_PLAY,ALL,ONLINE,REWARD,2.0,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,"Target: 구글 Play 포인트 | Cond: 다이아몬드 / 1,000원당 2pt | Note: 상시 최상위 등급"
BNF_0102,store_reward_rates.csv,SUMMARY_STORE_TIER_REWARD_RATES,ONE_STORE,스토어 등급별 적립률 - 적립률,ONE_STORE,ALL,ONLINE,REWARD,1.0,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,POINT_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,Target: 원스토어 캐시/포인트 | Cond: 기본 (상시) / - | Note: 상시 결제 기본 적립
