benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0090,voucher_conversion_fees.csv,SUMMARY_VOUCHER_POINT_CONVERSION_FEE,CULTURELAND_CASH,상품권 캐시→제휴포인트 전환 수수료 - 전환 수수료율,ALL,ALL,ONLINE,FEE,6.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,POINT_ONLY,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,INDIRECT_CONVERSION,False,,,,,Target: 네이버페이 포인트 | Cond:  | Note: 컬쳐랜드에서 네이버페이 포인트로 전환 시 수수료 6% 차감
BNF_0091,voucher_conversion_fees.csv,SUMMARY_VOUCHER_POINT_CONVERSION_FEE,CULTURELAND_CASH,상품권 캐시→제휴포인트 전환 수수료 - 전환 수수료율,ALL,ALL,ONLINE,FEE,8.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,POINT_ONLY,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,INDIRECT_CONVERSION,False,,,,,Target: PAYCO 포인트 | Cond:  | Note: 컬쳐랜드에서 PAYCO 포인트로 전환 시 수수료 8% 차감
BNF_0092,voucher_conversion_fees.csv,SUMMARY_VOUCHER_POINT_CONVERSION_FEE,CULTURELAND_CASH,상품권 캐시→제휴포인트 전환 수수료 - 전환 수수료율,ALL,ALL,ONLINE,FEE,3.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,POINT_ONLY,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,INDIRECT_CONVERSION,False,,,,,Target: 스마일캐시 | Cond:  | Note: 컬쳐랜드에서 스마일캐시로 전환 시 수수료 3% 차감
BNF_0093,voucher_conversion_fees.csv,SUMMARY_VOUCHER_POINT_CONVERSION_FEE,CULTURELAND_CASH,상품권 캐시→제휴포인트 전환 수수료 - 전환 수수료율,ALL,ALL,ONLINE,FEE,5.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,POINT_ONLY,GIFT_CARD,ALL_USERS,NONE,CHARGE_PURCHASE,False,False,INDIRECT_CONVERSION,False,,,,,Target: SSG MONEY | Cond:  | Note: 컬쳐랜드에서 SSG MONEY로 전환 시 수수료 5% 차감
