benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0067,payment_reward_rates.csv,SUMMARY_REWARD_RATES,SAMSUNG_PAY,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CARD_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,False,DIRECT_LINK,False,,,,,Target:  | Cond:  | Note: 연동된 신용/체크카드 자체 혜택 적용
BNF_0068,payment_reward_rates.csv,SUMMARY_REWARD_RATES,APPLE_GIFTCARD,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,PAYMENT_PG,ALL_USERS,NONE,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 국내 정가 판매 위주 / 해외 구매 시 환전 수수료 손실
BNF_0069,payment_reward_rates.csv,SUMMARY_REWARD_RATES,APPLE_GIFTCARD,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 국내 정가 판매 위주 / 해외 구매 시 환전 수수료 손실
BNF_0070,payment_reward_rates.csv,SUMMARY_REWARD_RATES,APPLE_PAY,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CARD_ONLY,PAYMENT_PG,ALL_USERS,NONE,INFO_ONLY,False,False,DIRECT_LINK,False,,,,,Target:  | Cond:  | Note: 연동된 신용/체크카드 자체 혜택 적용
BNF_0071,payment_reward_rates.csv,SUMMARY_REWARD_RATES,APPLE_PAY,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CARD_ONLY,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,False,DIRECT_LINK,False,,,,,Target:  | Cond:  | Note: 연동된 신용/체크카드 자체 혜택 적용
BNF_0072,payment_reward_rates.csv,SUMMARY_REWARD_RATES,ONESTORE_GIFTCARD,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,1.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,PAYMENT_PG,ALL_USERS,NONE,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: G마켓 등 오픈마켓 평균 1% 할인 구매
BNF_0073,payment_reward_rates.csv,SUMMARY_REWARD_RATES,ONESTORE_GIFTCARD,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: G마켓 등 오픈마켓 평균 1% 할인 구매
BNF_0074,payment_reward_rates.csv,SUMMARY_REWARD_RATES,KCP_BANK_ACCOUNT,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CASH_ONLY,PAYMENT_PG,ALL_USERS,CASH_EXCLUDED,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 현금영수증 발행 대상 (30% 소득공제)
BNF_0075,payment_reward_rates.csv,SUMMARY_REWARD_RATES,KCP_BANK_ACCOUNT,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CASH_ONLY,PAYMENT_PG,VIP_MEMBER,CASH_EXCLUDED,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 현금영수증 발행 대상 (30% 소득공제)
BNF_0076,payment_reward_rates.csv,SUMMARY_REWARD_RATES,KAKAO_PAY,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,PAYMENT_PG,ALL_USERS,NONE,INFO_ONLY,False,False,DIRECT_PAY,True,,,,,Target:  | Cond:  | Note: 상시 적립 없음 (결제 후 랜덤 알적립만 제공)
BNF_0077,payment_reward_rates.csv,SUMMARY_REWARD_RATES,KAKAO_PAY,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,NONE,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,False,DIRECT_PAY,True,,,,,Target:  | Cond:  | Note: 상시 적립 없음 (결제 후 랜덤 알적립만 제공)
BNF_0078,payment_reward_rates.csv,SUMMARY_REWARD_RATES,CULTURELAND_BYPASS,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,5.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,PAYMENT_PG,ALL_USERS,NONE,INFO_ONLY,False,False,INDIRECT_CONVERSION,False,,,,,Target:  | Cond:  | Note: 오픈마켓 할인구매 -> 페이코 전환 우회(수수료 차감 후 실혜택)
BNF_0079,payment_reward_rates.csv,SUMMARY_REWARD_RATES,CULTURELAND_BYPASS,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,CONVERSION_FEE,False,False,NONE,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,False,INDIRECT_CONVERSION,False,,,,,Target:  | Cond:  | Note: 오픈마켓 할인구매 -> 페이코 전환 우회(수수료 차감 후 실혜택)
BNF_0080,payment_reward_rates.csv,SUMMARY_REWARD_RATES,QUICK_BANK_TRANSFER,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CASH_ONLY,PAYMENT_PG,ALL_USERS,CASH_EXCLUDED,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 현금영수증 발행 대상 (30% 소득공제)
BNF_0081,payment_reward_rates.csv,SUMMARY_REWARD_RATES,QUICK_BANK_TRANSFER,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,GENERAL,False,False,CASH_ONLY,PAYMENT_PG,VIP_MEMBER,CASH_EXCLUDED,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 현금영수증 발행 대상 (30% 소득공제)
BNF_0082,payment_reward_rates.csv,SUMMARY_REWARD_RATES,TELECOM_DISCOUNT,결제수단별 적립·공제율 - 기본 적립률,ALL,ALL,ONLINE,REWARD,0.0,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,NONE,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 원스토어 전용 (T멤버십 등급별 10% 할인/적립)
BNF_0083,payment_reward_rates.csv,SUMMARY_REWARD_RATES,TELECOM_DISCOUNT,결제수단별 적립·공제율 - 멤버십 적립률,ALL,ALL,ONLINE,REWARD,10.0,PERCENT,0,0.0,,MEMBERSHIP_TIER,False,False,NONE,PAYMENT_PG,VIP_MEMBER,NONE,INFO_ONLY,False,True,DIRECT_PAY,False,,,,,Target:  | Cond:  | Note: 원스토어 전용 (T멤버십 등급별 10% 할인/적립)
