benefit_id,source_file,category,provider_or_retailer,item_or_event_name,target_platform,target_game,channel_type,benefit_type,benefit_value,benefit_unit,min_spend_krw,max_benefit_krw,min_prev_month_spend_krw,condition_type,is_first_purchase,requires_pre_app,payment_method_restriction,stacking_layer,user_segment,spend_exclusion_type,disbursement_type,is_first_come_first_served,is_tiered_limit,payment_route_type,is_probabilistic,denomination_list,start_date,end_date,source_url,condition_raw_text
BNF_0103,store_first_purchase_benefits.csv,SUMMARY_STORE_FIRST_PURCHASE_BENEFIT,GOOGLE_PLAY,스토어별 첫 결제 혜택 - PC버전 첫 결제 25% 할인,ALL,ALL,ONLINE,DISCOUNT,25.0,PERCENT,0,36500.0,,FIRST_PURCHASE,True,False,NONE,STORE_COUPON,NEW_OR_RETURNING_USER,NONE,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,"Target: PC (Google Play Games) | Cond: 첫 결제 시 | Note: 최대 36,500원 할인 적용"
BNF_0104,store_first_purchase_benefits.csv,SUMMARY_STORE_FIRST_PURCHASE_BENEFIT,GALAXY_STORE,스토어별 첫 결제 혜택 - 첫 결제 즉시 할인,ALL,ALL,ONLINE,DISCOUNT,5000.0,KRW,0,5000.0,,FIRST_PURCHASE,True,False,NONE,STORE_COUPON,NEW_OR_RETURNING_USER,NONE,INFO_ONLY,False,False,DIRECT_PAY,False,,,,,"Target: 전체 게임 | Cond: 최근 180일 내 결제 이력 없음 | Note: 5천원 이하 -> 100원 결제 / 5천원 초과 -> 5천원 즉시 할인 (Rule: Pay 100 KRW if purchase <= 5000 KRW, else 5000 KRW instant discount)"
BNF_0105,store_first_purchase_benefits.csv,SUMMARY_STORE_FIRST_PURCHASE_BENEFIT,ONE_STORE,스토어별 첫 결제 혜택 - 신규 가입/첫 로그인 20% 할인 쿠폰,ALL,ALL,ONLINE,DISCOUNT,20.0,PERCENT,0,0.0,,FIRST_PURCHASE,True,False,NONE,STORE_COUPON,NEW_OR_RETURNING_USER,NONE,COUPON_ISSUE,False,False,DIRECT_PAY,False,,,,,Target: 신규 회원 | Cond: 가입 / 첫 로그인 시 | Note: 신규 가입 15% / 첫 로그인 20% 할인 쿠폰 자동 지급
BNF_0106,store_first_purchase_benefits.csv,SUMMARY_STORE_FIRST_PURCHASE_BENEFIT,ONE_STORE,스토어별 첫 결제 혜택 - 첫 결제 혜택존 50% 할인 쿠폰,ALL,ALL,ONLINE,DISCOUNT,50.0,PERCENT,0,10000.0,,FIRST_PURCHASE,True,False,NONE,STORE_COUPON,NEW_OR_RETURNING_USER,NONE,COUPON_ISSUE,False,False,DIRECT_PAY,False,,,,,Target: 첫 결제 대상자 | Cond: 스토어 혜택존 진입 시 | Note: 첫 결제 혜택존 50% 할인 쿠폰 지급
