rank,game_name,google_play_id,google_play_url,google_play
56,Township,com.playrix.township,https://play.google.com/store/apps/details?id=com.playrix.township,True
57,State of Survival: Zombie War,com.kingsgroup.sos,https://play.google.com/store/apps/details?id=com.kingsgroup.sos,True
58,eFootballTM,jp.konami.pesam,https://play.google.com/store/apps/details?id=jp.konami.pesam,True
59,토이 삼국,com.jsjskr.google,https://play.google.com/store/apps/details?id=com.jsjskr.google,True
60,Dark War Survival,com.readygo.dark.gp,https://play.google.com/store/apps/details?id=com.readygo.dark.gp,True
61,Arknights: Endfield,com.gryphline.endfield.gp,https://play.google.com/store/apps/details?id=com.gryphline.endfield.gp,True
62,한게임 신맞고 : 대한민국 원조 고스톱,com.NHNEnt.NDuelgo,https://play.google.com/store/apps/details?id=com.NHNEnt.NDuelgo,True
63,피망 뉴맞고: 고스톱 대표 맞고 게임,com.neowiz.games.newmatgo,https://play.google.com/store/apps/details?id=com.neowiz.games.newmatgo,True
64,Pokémon GO,com.nianticlabs.pokemongo,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo,True
65,Disney Solitaire,com.superplaystudios.disneysolitairedreams,https://play.google.com/store/apps/details?id=com.superplaystudios.disneysolitairedreams,True
66,냥코 대전쟁,jp.co.ponos.battlecatskr,https://play.google.com/store/apps/details?id=jp.co.ponos.battlecatskr,True
67,Limbus Company,com.ProjectMoon.LimbusCompany,https://play.google.com/store/apps/details?id=com.ProjectMoon.LimbusCompany,True
68,리니지2M,com.ncsoft.lineage2m19,https://play.google.com/store/apps/details?id=com.ncsoft.lineage2m19,True
69,Travel Town - Merge Adventure,io.randomco.travel,https://play.google.com/store/apps/details?id=io.randomco.travel,True
70,Merge Cooking®,com.merge.cooking.theme.restaurant.food,https://play.google.com/store/apps/details?id=com.merge.cooking.theme.restaurant.food,True
71,시티 데몬헌터즈: 각성자들,com.dlw.kr.google,https://play.google.com/store/apps/details?id=com.dlw.kr.google,True
72,"WPL:Texas Hold'em, MTT, Sit&Go",com.zempot.wplpoker,https://play.google.com/store/apps/details?id=com.zempot.wplpoker,True
73,Dragon Village 3,com.highbrow.games.dvo,https://play.google.com/store/apps/details?id=com.highbrow.games.dvo,True
74,임진왜란: 조선의 반격,com.joycity.im,https://play.google.com/store/apps/details?id=com.joycity.im,True
75,Yu-Gi-Oh! Master Duel,jp.konami.masterduel,https://play.google.com/store/apps/details?id=jp.konami.masterduel,True
76,NBAダンクシティ,com.netease.dunkcdjp,https://play.google.com/store/apps/details?id=com.netease.dunkcdjp,True
77,한게임 로얄 홀덤,com.nhn.AApoker,https://play.google.com/store/apps/details?id=com.nhn.AApoker,True
78,컴투스프로야구2026,com.com2us.probaseball3d.normal.freefull.google.global.android.common,https://play.google.com/store/apps/details?id=com.com2us.probaseball3d.normal.freefull.google.global.android.common,True
79,Tiles Survive!,com.funplus.ts.global,https://play.google.com/store/apps/details?id=com.funplus.ts.global,True
80,Rogue Legend - Roguelike RPG,com.pockethaven.roguelegend,https://play.google.com/store/apps/details?id=com.pockethaven.roguelegend,True
81,Merge Teahouse,com.mhclyxpb.gatja,https://play.google.com/store/apps/details?id=com.mhclyxpb.gatja,True
82,Dragon Traveler,com.gametree.lhlr.gp,https://play.google.com/store/apps/details?id=com.gametree.lhlr.gp,True
83,Legend of Avatar,com.billionairegames.serares,https://play.google.com/store/apps/details?id=com.billionairegames.serares,True
84,Forge Master,com.hariwn.legendofcivilizations,https://play.google.com/store/apps/details?id=com.hariwn.legendofcivilizations,True
